Coeficiente,Normal,Penalizada,Mejor_modelo
Bias,2.6976822645476384,2.5687787480916193,2.6976822645476384
Escala_1,-2.3527108268357364,-1.9495123922534194,-2.3527108268357364
Escala_2,-2.7387664368040037,-2.166098791796967,-2.7387664368040037
Escala_3,0.26890587664015986,0.13400987202479728,0.26890587664015986
Escala_4,-0.07983406479018808,-0.19906453407279737,-0.07983406479018808
Escala_5,-1.6903306825315327,-1.3536642534198333,-1.6903306825315327
Escala_6,-1.0774701506576876,-0.7978516932093687,-1.0774701506576876
Escala_7,-0.944335867339595,-0.6977428615181739,-0.944335867339595
Escala_8,-1.1465922478649373,-0.8289695220605371,-1.1465922478649373
Escala_9,-0.5897710969013633,-0.46827401039220196,-0.5897710969013633
Escala_10,-1.2743126960146591,-0.7978578914227301,-1.2743126960146591
