Coeficiente,Normal,Penalizada,Mejor_modelo
Bias,2.527787335187504,2.2718689661531313,2.527787335187504
Escala_1,-4.843587942790815,-3.9038263975325656,-4.843587942790815
Escala_2,-0.4900395955094648,-0.47479284226064067,-0.4900395955094648
Escala_3,2.682368785285563,1.9410295892297262,2.682368785285563
Escala_4,-0.34214476184804987,-0.24626891826594702,-0.34214476184804987
Escala_5,0.3600774964948205,0.28671220458299307,0.3600774964948205
Escala_6,0.49993084724467796,0.39865271234160726,0.49993084724467796
Escala_7,0.35647160373225156,0.14260099347673466,0.35647160373225156
Escala_8,-0.4220789480060667,-0.2882676778067023,-0.4220789480060667
Escala_9,-0.6110182249527705,-0.4912469623229355,-0.6110182249527705
Escala_10,-0.5050072149534561,-0.4637433491177623,-0.5050072149534561
