Epoch,Loss_Normal,Loss_Penalizada
1,0.6931471805599453,0.6931471805599453
2,0.6598114877662735,0.6598123398509558
3,0.6018709912431713,0.6018794342926067
4,0.5304847428820636,0.5305157924469505
5,0.4562732188664897,0.45634900853743576
6,0.3869786627045926,0.3871253172167416
7,0.32667795226019913,0.3269223495936782
8,0.276457618602232,0.27682502374845275
9,0.2356419447688782,0.2361546019225218
10,0.20282542521014923,0.20350186316080862
11,0.17648593830215692,0.17734075159003027
12,0.15526155343418482,0.15630549285748124
13,0.13803399346793355,0.13927424974891456
14,0.12392332458052911,0.1253639206825385
15,0.11225123476093052,0.11389346584561419
16,0.10249911493935196,0.10434199401345147
17,0.09427085917967962,0.0963115416166947
18,0.08726293409673487,0.08949710555649304
19,0.0812413842889661,0.08366360455280208
20,0.07602456005354156,0.07862856061657693
21,0.07147027298343268,0.07424920958363813
22,0.06746627213981368,0.0704129353414339
23,0.06392317301112381,0.06703016095089462
24,0.06076918707731588,0.06402904485636506
25,0.05794617196420593,0.061351502158464175
26,0.055406652312878786,0.05895020083814487
27,0.053111557191521885,0.05678627840091834
28,0.051028489299487036,0.054827593778839126
29,0.04913039127698711,0.05304737938032693
30,0.047394510492610835,0.05142319425122259
31,0.04580158969559991,0.04993610535420503
32,0.04433522975376824,0.048570042843698535
33,0.04298138439658406,0.04731128895055301
34,0.04172795690007273,0.04614807014601102
35,0.04056447601785631,0.045070229658133086
36,0.03948183391444715,0.04406896289867025
37,0.038472072915946884,0.04313660244705154
38,0.03752821093408282,0.042266442305134544
39,0.03664409771147325,0.04145259345120554
40,0.035814295774013696,0.040689864479501
41,0.03503398130202888,0.03997366245424906
42,0.034298861148987544,0.03929991013884674
43,0.033605103021372804,0.03866497655784021
44,0.03294927644214801,0.038065618468552415
45,0.03232830259512823,0.03749893080273852
46,0.03173941151986714,0.03696230451818679
47,0.03118010542002623,0.03645339059955789
48,0.030648127080481372,0.0359700691850289
49,0.030141432573233606,0.0355104229842284
50,0.029658167579913797,0.0350727143040455
51,0.029196646777283012,0.0346553651202633
52,0.028755335827792945,0.034256939730867964
53,0.028332835594756044,0.033876129606179015
54,0.027927868264705086,0.03351174011542754
55,0.027539265111006548,0.033162678862048246
56,0.02716595567501747,0.0328279454030884
